item_type,date_uploaded,source_file,item_id,title,date,source_url,phys_format,dig_format,rights,image_url,creators,description,subject_headings,source_collection,url,notes
Item,2024-12-15,item-metadata-gardens\item_metadata-ppmsca.16211.json,2007685902,"[""The Dunes,"" Frank Bestow Wiborg house, Highway Behind the Pond, East Hampton, New York. Fountain in pool]",1915-01-01,https://www.loc.gov/item/2007685902/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/16200/16211v.jpg#h=837&w=1024,"['Johnston, Frances Benjamin, 1864-1952, photographer.', 'Hewitt, Mattie Edwards, 1869-1956, photographer.']",Not found,"['Gardens--New York (State)--East Hampton--1910-1920', 'Fountains--New York (State)--East Hampton--1910-1920', 'Pools--New York (State)--East Hampton--1910-1920']",Not found,//www.loc.gov/pictures/item/2007685902/,"['Site History. House Architecture: Grosvenor Atterbury, 1895. Associated Name: Adleine Sherman (Mrs. Frank Bestow) Wiborg. Other: The house was on 600 acres between Hook Pond and the Atlantic Ocean. Today: House and garden not extant.', 'On slide (handwritten): ""W"" and ""Wiborg, East Hampton, L.I.""', 'Photographed when Frances Benjamin Johnston and Mattie Edwards Hewitt worked together.', 'Title, date, and subject information provided by Sam Watters, 2011.', 'Forms part of: Garden and historic house lecture series in the Frances Benjamin Johnston Collection (Library of Congress).', 'Formerly in Box 80. ""Bogart"" in staff hand on sleeve.']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ppmsca.16216.json,2007685907,"[""Gray Gardens,"" Robert Carmer Hill house, Lily Pond Lane, East Hampton, New York. View to garden trellis]",1914-01-01,https://www.loc.gov/item/2007685907/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/16200/16216v.jpg#h=836&w=1024,"['Johnston, Frances Benjamin, 1864-1952, photographer.', 'Hewitt, Mattie Edwards, 1869-1956, photographer.']",Not found,"['Gardens--New York (State)--East Hampton--1910-1920', 'Flowers--New York (State)--East Hampton--1910-1920', 'Pergolas--New York (State)--East Hampton--1910-1920', 'Thatched roofs--New York (State)--East Hampton--1910-1920']",Not found,//www.loc.gov/pictures/item/2007685907/,"['Site History. House Architecture: Joseph Greenleaf Thorp, 1897. Landscape: Anna Gilman (Mrs. Robert C.) Hill. Other: Robert C. Hill acquired the house and four acres and half in 1913; Edith Bouvier Beale owned this house, now known as ""Grey Gardens, from the 1920s. Today: House extant and the garden restored.', 'Photographed when Frances Benjamin Johnston and Mattie Edwards Hewitt worked together.', 'Title, date, and subject information provided by Sam Watters, 2011.', 'Forms part of: Garden and historic house lecture series in the Frances Benjamin Johnston Collection (Library of Congress).', 'Formerly in Box 40.']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ppmsca.16226.json,2007685917,"[""Gray Gardens,"" Robert Carmer Hill house, Lily Pond Lane, East Hampton, New York. Dovecote]",1914-01-01,https://www.loc.gov/item/2007685917/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/16200/16226v.jpg#h=831&w=1024,"['Johnston, Frances Benjamin, 1864-1952, photographer.', 'Hewitt, Mattie Edwards, 1869-1956, photographer.']",Not found,"['Gardens--New York (State)--East Hampton--1910-1920', 'Dovecotes--New York (State)--East Hampton--1910-1920']",Not found,//www.loc.gov/pictures/item/2007685917/,"['Site History. House Architecture: Joseph Greenleaf Thorp, 1897. Landscape: Anna Gilman (Mrs. Robert C.) Hill. Other: Robert C. Hill acquired the house and four acres and half in 1913; Edith Bouvier Beale owned this house, now known as ""Grey Gardens, from the 1920s. Today: House extant and the garden restored.', 'On slide (handwritten): ""H"" and ""Hill, Mrs. Robt. C."" Also, gold star sticker, blue star sticker, and red stroke mark.', 'Photographed when Frances Benjamin Johnston and Mattie Edwards Hewitt worked together.', 'Title, date, and subject information provided by Sam Watters, 2011.', 'Forms part of: Garden and historic house lecture series in the Frances Benjamin Johnston Collection (Library of Congress).', 'Formerly in Box 49.']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ppmsca.16693.json,2008675993,"[""Reef Point,"" Beatrix Jones Farrand house, Bar Harbor, Maine. Pathway]",1920-01-01,https://www.loc.gov/item/2008675993/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/16600/16693v.jpg#h=829&w=1024,"['Johnston, Frances Benjamin, 1864-1952, photographer.']",Not found,"['Gardens--Maine--Bar Harbor--1920', 'Trails & paths--Maine--Bar Harbor--1920']",Not found,//www.loc.gov/pictures/item/2008675993/,"[""Site History. House Architecture: Tilden & Rotch, for Frederick Rhinelander and Mary Rawle Jones, Beatrix Jones Farrand's parents, 1883. Landscape: Beatrix Jones Farrand, from 1917. Today: House and garden not extant."", 'Title, date, and subject information provided by Sam Watters, 2011.', 'Forms part of: Garden and historic house lecture series in the Frances Benjamin Johnston Collection (Library of Congress).', 'Published in Gardens for a Beautiful America / Sam Watters. New York: Acanthus Press, 2012. Plate 20.', 'Penciled on slide (not by FBJ?): # 132.']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ppmsca.16752.json,2008676052,"[""Beechgate,"" Robert Carmer Hill house, Woodland Avenue, Englewood, New Jersey. Flower garden gate]",1918-01-01,https://www.loc.gov/item/2008676052/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/16700/16752v.jpg#h=834&w=1024,"['Johnston, Frances Benjamin, 1864-1952, photographer.']",Not found,"['Gardens--New Jersey--Englewood--1910-1920', 'Flowers--New Jersey--Englewood--1910-1920', 'Stairways--New Jersey--Englewood--1910-1920']",Not found,//www.loc.gov/pictures/item/2008676052/,"['Site History. Landscape: Anna Gilman (Mrs. Robert C.) Hill, on four acres, circa 1911.', 'On slide (handwritten): ""Hill.""', 'On slide (printed): ""176 Fulton Street, New York."" (Slide manufacturer: T.H. McAllister-Keller Co.)', 'Title, date, and subject information provided by Sam Watters, 2011.', 'Forms part of: Garden and historic house lecture series in the Frances Benjamin Johnston Collection (Library of Congress).', 'Published in Gardens for a Beautiful America / Sam Watters. New York: Acanthus Press, 2012. Plate 184.']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ppmsca.38775.json,2015647541,"[Henry Truvillion's children (4 of the 5), in his flower garden, Newton, Texas]",1940-01-01,https://www.loc.gov/item/2015647541/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions on publication. For more information, see: ""Lomax Collection...,"" http://lcweb.loc.gov/rr/print/res/159_loma.html",https://tile.loc.gov/storage-services/service/pnp/ppmsca/38700/38775v.jpg#h=1024&w=844,"['Lomax, Ruby T. (Ruby Terrill), photographer.']",Not found,"['Truvillion, Henry--Family', 'Children.--1940', 'Gardens.--1940', 'African Americans--Children--1940', 'United States--Texas--Newton']",Lomax photographs depicting folk musicians,//www.loc.gov/pictures/item/2015647541/,"['Title and date devised by Library staff based on caption information and inventory lists.', 'No print found.', 'Forms part of: Lomax photographs depicting folk musicians in the Lomax Collection.']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ppmsca.67920.json,2016653458,"[Roof garden, Elizabeth McCormick open air school; Hull House, Chicago]",1912,https://www.loc.gov/item/2016653458/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication,https://tile.loc.gov/storage-services/service/pnp/ppmsca/67900/67920v.jpg#h=781&w=1024,[],"Photograph showing a group of children gardening on rooftop. Caption in Open Air Crusaders, p. 44: ""A new use for a city roof. The Elizabeth McCormick Open Air Schools One and Two, which were continued as a summer school during 1912, took great pride in their school garden on the roof of Bowen Hall.""","['Hull-House (Chicago, Ill.)', 'Roof gardens--Illinois--Chicago--1910-1920', 'Open-air schools--Illinois--Chicago--1910-1920', 'Children--Illinois--Chicago--1910-1920', 'Gardening--Illinois--Chicago--1910-1920']",Not found,https://www.loc.gov/pictures/item/2016653458/,"['Published in: Open Air Crusaders, by Sherman C. Kingsley. Chicago: Elizabeth McCormick Memorial Fund, 1913, p. 44.', 'Exhibited: Join In: The American Pursuit of Civil Society (Two Rotations) at the Library of Congress, Thomas Jefferson Building, South Gallery, Washington, D.C., December 16, 2022 - August 2023.']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ppmsca.83823.json,2022654691,"These men, all Issei, are at work in one of the 36 greenhouses operated by the Issei-owned Ozone Park Nursery, Inc., near New York City.... The nursery, one of the biggest on Long Island, N.Y. was established in 1917 by Mr. Yamaguchi's father-in-law, Kujiro Fuchigami. In all 17 persons, including two Caucasians, are employed / Henry Ushioka.",1945,https://www.loc.gov/item/2022654691/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/83800/83823v.jpg#h=745&w=1024,"['Ishimaru, Stone S., photographer', 'United States. War Relocation Authority']","Photograph shows left to right: Masao Yamaguchi, general manager and part-owner; Koichi Marui, after his release from Central Utah Relocation Center, Topaz, Utah; Suekichi Sada, not incarcerated; and Kazuma Nobuto, after his release from Rohwer Relocation Center, Rohwer, Arkansas.","['Japanese Americans--Forced removal and internment, 1942-1945', 'World War, 1939-1945--Japanese Americans--New York (State)', 'Japanese Americans--1940-1950', 'Greenhouses--New York (State)--1940-1950', 'Nurseries (Horticulture)--New York (State)--1940-1950', 'Freedom of movement--New York (State)--1940-1950', 'Supervisors--New York (State)--1940-1950']",Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),https://www.loc.gov/pictures/item/2022654691/,"['Title transcribed from item.', 'Photograph from U.S. War Relocation Authority.', 'Farm Security Administration and Office of War Information Collection (Library of Congress).']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ppmsca.83865.json,2022654406,"[Biltmore, estate for George Washington Vanderbilt II, Asheville, North Carolina]. [Proposal for basin for fountain in Winter Garden (not built)]. [Plan]",1890,https://www.loc.gov/item/2022654406/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/83800/83865v.jpg#h=1016&w=1024,"['Hunt, Richard Morris, 1827-1895, architect']",Not found,"['Vanderbilt, George Washington,--1862-1914--Homes & haunts--North Carolina--Asheville', 'Biltmore (Asheville, N.C.)--1890', 'Estates--North Carolina--Asheville--1890', 'Fountains--North Carolina--Asheville--1890', 'Gardens--North Carolina--Asheville--1890', 'Unbuilt projects--North Carolina--Asheville--1890']",Not found,https://www.loc.gov/pictures/item/2022654406/,"['Title, date, and subject information from Sam Watters, 2024.', 'No. 1.', 'Gift; American Institute of Architects / American Architectural Foundation; 2010; (DLC/PP-2010:100)', 'Forms part of: The Hunt Collection in the AIA/AAF Collection (Library of Congress)']"
Item,2024-12-15,item-metadata-gardens\item_metadata-stereo.1s00324.json,2005694526,"Gardens surrounding the Indian Pueblo of Zuni, in which are raised a variety of vegetables, such as pepper, onions, garlic, etc.",1873-01-01,https://www.loc.gov/item/2005694526/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/stereo/1s00000/1s00000/1s00300/1s00324v.jpg#h=593&w=1024,"[""O'Sullivan, Timothy H., 1840-1882, photographer.""]",Not found,[],Not found,https://www.loc.gov/pictures/item/2005694526/,"['Original negative number: 41.', 'Caption number on back of stereo: No. 18.', 'Title from item.', 'Part of series: U.S. War Dept., Corps of Engineers; Geographical Explorations and Surveys West of 100th Meridian, Expedition of 1871; Lieut. Geo. M. Wheeler, commanding.']"
