alt,image,link,title
"Men row in a boat in front of a multi-story, pyramid-shaped pagoda and palm trees.",/static/portals/free-to-use/public-domain/gardens/gardens-27.jpg,/resource/stereo.1s26666/,"Buddhist pagoda in the Burmese style, Eden Gardens, Calcutta (now Kolkata), India. Stereograph by American Stereoscopic Co., 1907."
A large statue of a standing man with flowers in the foreground.,/static/portals/free-to-use/public-domain/gardens/gardens-28.jpg,/resource/stereo.1s38444/,"Statue of Linnaeus, Humelgard Park, Stockholm, Sweden. Stereograph by Standard Scenic Co., 1907."
A man sits on the porch of a one-story log cabin with a yard filled with flowers and vegetables.,/static/portals/free-to-use/public-domain/gardens/gardens-29.jpg,/resource/npcc.20263/,"A cottage & garden, Alaska. Photo by National Photo Co., 1909-1920."
Girls and boys pose by plants in wooden boxes on a roof.,/static/portals/free-to-use/public-domain/gardens/gardens-30.jpg,/resource/ppmsca.67920/,"Roof garden, Elizabeth McCormick open air school, Hull House Chicago, 1912."
Wide grass pathway flanked by blooming flowers.,/static/portals/free-to-use/public-domain/gardens/gardens-32.jpg,/resource/ppmsca.16801/,"Flower garden, Mariemont, Middletown, Rhode Island. Lantern slide, by Frances B. Johnston and Mattie E. Hewitt, 1914."
Several doves perch on top of a triangular birdhouse surrounded by a white flowering bush.,/static/portals/free-to-use/public-domain/gardens/gardens-33.jpg,/resource/ppmsca.16226/,"Dovecote, Gray Gardens, East Hampton, New York. Lantern slide by Frances B. Johnston and Mattie E. Hewitt, around 1914."
Several people sit and stand in front of thick bamboo stems that tower above them.,/static/portals/free-to-use/public-domain/gardens/gardens-34.jpg,/resource/stereo.1s31930/,"Immense bamboos of the world-famed botanical gardens, Buitenzorg (now Bogor), Java. Stereograph by Underwood & Underwood, 1915."
Rooftop garden filled with flower plants and vines.,/static/portals/free-to-use/public-domain/gardens/gardens-35.jpg,/resource/ggbain.01389/,"Penthouse on a skyscraper, New York City. Photo by Bain News Service, 1919."
Rows of red tulips with a tree and other flowers in the background.,/static/portals/free-to-use/public-domain/gardens/gardens-36.jpg,/resource/thc.5a50527/,"Tulip garden in the Washington, DC, area. Photo by Theodor Horydczak, around 1940s."
A circular pond in the foreground and a rose-covered wall and seating in the background.,/static/portals/free-to-use/public-domain/gardens/gardens-37.jpg,/resource/ppmsca.16211/,"Fountain in pool at The Dunes, East Hampton, New York. Lantern slide by Frances B. Johnston and Mattie E. Hewitt, around 1915."
Technical diagram for a large circular fountain.,/static/portals/free-to-use/public-domain/gardens/gardens-38.jpg,/resource/ds.13761/,"Foundation plan for James Scott Memorial Fountain, Belle Isle, Detroit, Michigan. Design by architect Cass Gilbert, 1920."
Many children are playing in the ground-level water jets and on two animal sculptures.,/static/portals/free-to-use/public-domain/gardens/gardens-39.jpg,/resource/ds.03659/,"Sculpture and children in fountains - Jane Addams Houses, Chicago. Photo by Peter Sekaer, 1938-1940."
Blooming plants overflow a window box on the first floor of a brick residential building.,/static/portals/free-to-use/public-domain/gardens/gardens-40.jpg,/resource/fsa.8a19113/,"Flowers in a window, New York City. Photo by Walker Evans, 1938."
Potted plants fill the sill of a curtained window.,/static/portals/free-to-use/public-domain/gardens/gardens-41.jpg,/resource/fsa.8b14071/,"Plants in window of Nebraska farmhouse. Photo by John Vachon, 1938."
Tall flowers along a fence with a two-story house in the background,/static/portals/free-to-use/public-domain/gardens/gardens-42.jpg,/resource/fsa.8c19781/,"Picket fence near Faribault, Minnesota. Photo by John Vachon, 1941."
"Illustration shows a shower of blue water over five vegetables, shown above and below ground.",/static/portals/free-to-use/public-domain/gardens/gardens-43.jpg,/resource/cph.3f05737/,"Grow it yourself: Plan a farm garden now. Poster by Herbert Bayer, 1941-1943."
In a large display of vegetable seeds a woman's hand reaches for a packet of corn.,/static/portals/free-to-use/public-domain/gardens/gardens-44.jpg,/resource/fsa.8d21091/,"Greenbelt, Maryland. Buying vegetable seeds in the Greenbelt variety store 1942."
Older white man poses while holding vegetables pulled from a row of the garden.,/static/portals/free-to-use/public-domain/gardens/gardens-45.jpg,/resource/fsa.8d31670/,"Citizen working on Sunday morning in his victory garden, Oswego, New York. Photo by Marjory Collins, 1943."
Birdbath with fountain jet spouting through a fish tail.,/static/portals/free-to-use/public-domain/gardens/gardens-46.jpg,/resource/hhh.ca1376.photos/?sp=60,"Bird bath, U.S. Naval Hospital, San Diego, California. Photo by Edward Gohlich, 1985."
"A replica of the Statue of Liberty sits atop a mound decorated by rocks of different colors.
",/static/portals/free-to-use/public-domain/gardens/gardens-47.jpg,/resource/mrg.00279/,"Petersen's Rock Garden, Statue of Liberty monument, Redmond, Oregon. Photo by John Margolies, 1987."
Man with a watering can is in a garden with a house and wooded hillside in background.,/static/portals/free-to-use/public-domain/gardens/gardens-48.jpg,/resource/afc1999008.afc1999008_crf_mhc05407/,"Bob Jarrell's vegetable garden, West Virginia. Photo by Mary Hufford, 1996. American Folklife Center."
Wooden chair by a stone wall overlooks blooming flowers and a low waterfall.,/static/portals/free-to-use/public-domain/gardens/gardens-49.jpg,/resource/highsm.13145/,"Detail of a garden in Virginia. Photo by Carol M. Highsmith, around 2000."
Blooming flowers and pond with a fountain appear in front of the large conservatory.,/static/portals/free-to-use/public-domain/gardens/gardens-50.jpg,/resource/highsm.58260/,"Pond and conservatory at Hershey Gardens, Hershey, Pennsylvania.  Photo by Carol M. Highsmith, 2019."
